Date of fail,Product description,Country of origin,Producer name,Reason for fail,Results,Units,Reference,Category,Test applied,Holding order number
2019-08-05,Spiced peanuts,India,Raghuvanshi Exports,Aflatoxin,0.214,mg/kg,NUT 11/208,Risk,,
2019-08-06,Diced mozzarella cheese,Italy,Europomella Spa (It 12/009 Ce),Listeria monocytogenes,Detected,/125g,CHE 07/2018,Risk,,
2019-08-06,Chilli sauce,Thailand,Chefs Choice Foods Mfr Co Ltd (Thailand),Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,15287
2019-08-09,Porridge oats,United Kingdom,Ramsden/Weetabis,Vitamin B12,Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,15288
2019-08-09,Breakfast cereal,United Kingdom,Ramsden/Weetabis,Vitamin B5,Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,15288
2019-08-12,Kelp slices,China,Fuzhou Hailin Food Co Ltd,Iodine,3900,mg/kg,BSW 12/2016,Risk,,
2019-08-12,Kelp shreds,China,Fuzhou Hailin Food Co Ltd,Iodine,3300,mg/kg,BSW 12/2016,Risk,,
2019-08-12,Dried kelp knots,China,Fuzhou Hailin Food Co Ltd,Iodine,2000,mg/kg,BSW 12/2016,Risk,,
2019-08-13,Fresh lychees,China,Zhangzhou Xinmingxing Trading Co Ltd,"Carbendazim 
Chlorpyrifos
Cypermethrin
Dimethomorph
Thaibendazole
","1.8
0.09
0.39
0.43
0.04
",mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match
2019-08-13,Seasoned squid salad,China,Dalian Gaishi Food Co Ltd,Additive (Colour 160b),Not permitted in this food,,FSC 1.3.1,Surveillance,Composition,HO match
2019-08-14,Preserved salted plums,China,Kiu Sang Hong Limited (Hong Kong),Lead,1.1,,FSC 1.4.1,Surveillance,Lead,HO match
2019-08-14,Dried herring,Philippines,Kaelen Phils Inc,Histamine,360,mg/kg,HIS 12/2016,Risk,,
2019-08-15,Candy corn,United States,Ferrara Cany Company,Additive E127 (erythrosine),Not permitted in this food,,FSC 1.3.1,Surveillance,Composition,15312
2019-08-15,Frozen green chilli,India,Arctic Agro Foods Pvt Ltd,"Monocrotophos
Tebuconazole","0.07
0.13
",mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15295
2019-08-16,Sliced red dates,China,Micson Food Processing,"Carbendazim
Cypermethrin
Difenoconazole
Propiconazole
Tebuconazole","0.28
0.16
0.37
0.17
0.56",mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match
2019-08-19,Spinach leaves,India,Vadilal Industries Limited,Chlorpyrifos,0.23,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match
2019-08-21,Tapioca flake,Indonesia,Pt Marizarasa Sarimurni (Indonesia),Additive E127 (erythrosine),Not permitted in this food,,FSC 1.3.1,Surveillance,Composition,15316
2019-08-22,Toor dal (pigeon peas),Myanmar,Ays Mfg Co Ltd,Chlorpyrifos,0.12,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15323
2019-08-22,Chilli powder,India,Spectrum International,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2019-08-23,Tapioca chips,India,Nilamel Exports,Hydrocyanic acid,11,mg/kg,CAS 09/2016,Risk,,
2019-08-23,Tahini,Pakistan,Tat Pakistan Sesame Mills,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2019-08-23,Tuna in vegetable oil,Iran,Fedelak Food Industry,Histamine,532,mg/kg,HIS 12/2016,Risk,,
2019-08-26,Cambodge dried tamarind,India,Kkr Agro Mills (P) Ltd,2-Phenylphenol,0.14,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match
2019-08-29,Kelp powder,China,Xi'an Pincredit Bio-Tech Co Ltd,Iodine,6660,mg/kg,BSW 12/2016,Risk,,
2019-08-29,Dried anchovies,India,Aquatic Fisheries,Histamine,390,mg/kg,HIS 12/2016,Risk,,
2019-08-30,Golden raisins,India,Harihar Foods Pvt. Ltd. (India),Carbendazim,0.36,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match
2019-08-30,Halawah with pistachio,Syria,Al Asala Foodstuff Co,Listeria monocytogenes,Detected,/125g,SES 05/2014,Risk,,
2019-09-02,Cheese,Italy,Casa Madaio,Listeria monocytogenes,Detected,/125g,CHE 07/2018,Risk,,
2019-09-03,Extra hot chilli powder,India,Shah Exim Pvt Ltd,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2019-09-03,Steamed red bean grain bun,China,Shanghai Light Industrial Products Imp& Exp Corp.Ltd,Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,15350
2019-09-03,Seasoned seaweed,Japan,Kurakon Foods Corporation,Iodine,3400,mg/kg,BSW 12/2016,Risk,,
2019-09-05,Instant noodles,Japan,Toyo Suisan Kaisha Ltd,Additive 165 (Gardenia blue) Additive 180 (Lithol Rubine BK),,,FSC 1.3.1,Surveillance,"Composition

",15367
2019-09-05,Ramen noodles pork broth,Japan,"Marutai Co., Ltd",Additive 165 (Gardenia blue),Not permitted in this food,,FSC 1.3.1,Surveillance,Composition,15360
2019-09-05,Dried haw,China,Yongxiang Food Processing Plant,"Carbendazim
Cyhalothrin
","0.20
0.12
",mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15351
2019-09-05,Canned yellow peaches,Republic of Korea,Penguin General Food Co Ltd (Korea),0.2,,mg/kg,FSC 1.4.1,Surveillance,Lead,15368
2019-09-06,Taro flavoured powder,Taiwan,King Heng Foods Co Ltd,Not permitted in this food,,,FSC 1.3.1,Surveillance,Composition,15372
2019-09-06,Spinach leaves,India,Vadilal Industries Limited,Chlorpyrifos,0.09,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO Match
2019-09-09,Sardines in tomato sauce,China,Sunny Success International Ltd,Histamine,280,mg/kg,HIS 12/2016,Risk,,
2019-09-11,Coffee,Thailand,Nature Gift (Thailand) Ltd Dk Health Product Lyd Part,"Niacinamide, 
Iron, 
Manganese, 
Calcium D-Pantothenate, Riboflavin,
Chromium
",Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,15359
2019-09-12,Lemon juice ,Nepal,Bs Nepal Trade Link Pvt Ltd,Vitamin E,Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,15381
2019-09-13,Formulated supplementary sports food,United States,4excelsior Pharma Spirit,Unapproved novel food,,,FSC 1.5.1,Surveillance,Composition,15369
2019-09-16,Dried thora fish,Sri Lanka,Damayanthi Ent & Exp (Sri Lanka),Histamine,210,mg/kg,HIS 12/2016,Risk,,
2019-09-16,Spicy gram flour coated peanuts,India,Sunshine Food Products,Aflatoxin,"0.015
product contains 67 per cent peanut, therefore the calculated maximum level is 0.01",mg/kg,NUT 11/2018,Risk,,
2019-09-16,Frozen whole cooked brandy crawfish,China,Standard Plate Count,Standard plate count,"19000, 2100000, 22000, 26000, 27000",cfu/g,CRU 03/2019,Risk,,
2019-09-16,Frozen marinara mix,China,Shandong Tongxing Foodstuffs Co Ltd,E. coli,"<2.3, <2.3, 43.0, <2.3, <2.3",MPN/g,MSM 11/2018,Risk,,
2019-09-17,High gluten flour,Taiwan,"Yi-Feng Food Co., Ltd.",Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,HO Match
2019-09-18,Satay sauce,Indonesia,Pt Enak Jaya Makmur,Aflatoxin,0.025,mg/kg,NUT 11/2018,Risk,,
2019-09-19,Flavoured pan masala,India,Dharampal Premchand Ltd,"Areca catechu
(Betel nut) 

",Prohibited plant,,FSC 1.4.4,Surveillance,Composition,15435
2019-09-19,Dried Chinese dates,China,Bozhou Haomen Chinese Herbal Medicine Co Ltd,Cypermethrin,0.11,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15384
2019-09-23,Wheaten flour,Taiwan,"Yi-Feng Food Co., Ltd.",Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,HO Match
2019-09-26,Boiled bracken,Republic of Korea,Singwang Ecofarm Co Ltd,Pteridium aquilinum,Prohibited plant,,FSC 1.4.4,Surveillance,Composition,HO Match
2019-09-27,Dried hawthorn fruit,China,Guang Dong Jiexi Maolin Food Co Ltd,"Carbendazim, 
Tebuconazole","0.65
0.12",,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15390
2019-09-30,Peanut spread,Philippines,Unilever Phils,"Composition
Vitamin B1,
Vitamin acetate,
Vitamin A Palmitate,
Vitamin D3",Not permitted in this food,,FSC 1.3.2,Risk,,
2019-09-30,Dried jumbo peaches,United States,California Fruit Basket,Cyprodinil,0.09,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15407
2019-10-01,Rice milk,Republic of Korea,Okf Corporation,Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,Composition,15391
2019-10-02,Spice coated peanuts,India,Raghuvanshi Exports,Aflatoxin,0.03,mg/kg,"NUT 11/208

",Risk,,
2019-10-02,Fresh betel leaves,India,Fresh Jasmines Export And Import Pvt Ltd,"Triadimefon
Triadimenol
","0.058
0.058",mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15412
2019-10-03,Honey acacia ,Serbia,Med-Honey Doo,Evidence of blended or artificial honey,24,%,FSC 2.8.2,Surveillance,Composition,15398
2019-10-03,Honey clover,Serbia,Med-Honey Doo,Evidence of blended or artificial honey,21,%,FSC 2.8.2,Surveillance,Composition,15398
2019-10-04,Fresh sugar snap peas,China,Xiangyang Heli Agriculture Development Co Ltd,Thiamethoxam,0.1,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15401
2019-10-04,Dried seaweed,Japan,Kurakon Foods Corporation,Iodine,3900,mg/kg,"BSW 12/2016

",Risk,,
2019-10-04,Maldive fish chips,Sri Lanka,Leela Exorts & Imports (Sri Lanka),Histamine,210,mg/kg,"HIS 12/2016

",Risk,,
2019-10-07,Salted anchovies,Philippines,P.O.P Export Trading,Histamine,1500,mg/kg,"HIS 12/2016

",Risk,,
2019-10-08,Fresh whole yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,309,mg/kg,"HIS 12/2016

",Risk,,
2019-10-08,Fresh whole yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,218,mg/kg,"HIS 12/2016

",Risk,,
2019-10-09,Dried apricot fruit snack,South Africa,Pioneer Foods,Thiabendazole,0.031,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15414
2019-10-09,Petit Agour cheese,France,Agour Sasu,Listeria monocytogenes,Detected,/125g,CHE 07/2018,Risk,,
2019-10-10,Frozen pandan leaf,Thailand,"O-Cha Food Pack Co., Ltd (Thailand)",Difenoconazole,0.054,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match
2019-10-11,Whole dates,China,Cangzhou Ruifeng Date Product Co Ltd,Carbendazim,0.07,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match
2019-10-11,Cooked crawfish,China,Zhongyang Fishery (Shanghai),Standard plate count,"120 000, 230 000, 
90 000, 380 000, 280 000
",/125g,CRU 03/2019,Risk,,
2019-10-15,Spinach,India,Global Gourmet Pvt Ltd,Chlorpyrifos,0.068,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15422
2019-10-17,Honey with white truffle,Italy,Poddi Tartufi Srl,Evidence of blended or artificial honey,12,%,FSC 2.8.2,Surveillance,Composition,15429
2019-10-17,Fresh grapes,United States,Jasmine Vineyards Incorporated,Propargite,2.7,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15431
2019-10-17,Dried herring,Philippines,Pearlfoods International Inc.,Histamine,480,mg/kg,"HIS 12/2016

",Risk,,
2019-10-18,Peanut and sesame paste,China,Jinhua Import & Export Trading Co Ltd,Aflatoxin,"0.013
product contains 50 per cent peanut, therefore the calculated maximum level is 0.0075
",mg/kg,"NUT 11/208

",Risk,,
2019-10-21,Frozen cooked prawns,Vietnam,Bac Lieu Fisheries Joint Stock Company,Vibrio cholerae,Detected,/125g,CRU 03/2019,Risk,,
2019-10-21,Fresh yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,564,mg/kg,"HIS 12/2016

",Risk,,
2019-10-21,Fresh yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,253,mg/kg,"HIS 12/2016

",Risk,,
2019-10-21,Fresh yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,473,mg/kg,"HIS 12/2016

",Risk,,
2019-10-21,Fresh yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,308,mg/kg,"HIS 12/2016

",Risk,,
2019-10-21,Fresh yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,276,mg/kg,"HIS 12/2016

",Risk,,
2019-10-23,Parval (pointed gourd),India,Innovative Cuisine,Dimethoate,0.022,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15413
2019-10-28,Cracker nuts,Philippines,Yunik Import And Export Corp,Aflatoxin,"0.014
product contains 75 per cent peanut, therefore the calculated maximum level is 0.011
",mg/kg,"NUT 11/208

",Risk,,
2019-10-30,Cooked ark shell meat,Republic of Korea,"Namdo Kkomak Co., Ltd",E. coli,"17, <2, 7, 8, 2",MPN/g,MOL 04/2017,Risk,,
2019-10-31,Frozen cooked prawns,Thailand,Top Product Food Co. Ltd,Standard plate count,"20 000, 5 200 000, 
5 800 000, 2 000, 110 000
",cfu/g,CRU 03/2019,Risk,,
2019-10-31,Frozen purple corn,Vietnam,Saka Saka Company Limited,Chlorpyrifos,0.12,mg/kg,FSC 1.4.2,Surveillance,,
2019-10-31,Dry mizithra cheese,Greece,Metsovo-Vlahotirokomikh Tsoutsoplides (Greece),Listeria monocytogenes,Detected,/125g,CHE 07/2018,Risk,,
2019-11-01,Seasoned seaweed,Japan,Kurakon Foods Corporation,Iodine,3000,mg/kg,BSW 12/2016,Risk,,
2019-11-01,Frozen roasted eel,China,Jiangxi Donghai Food Co Lyd,Listeria monocytogenes,Detected,/125g,FSH 07/2018,Risk,,
2019-11-01,Dried seaweed,Japan,Kurakon Foods Corporation,Iodine,4000,mg/kg,BSW 12/2016,Risk,,
2019-11-01,Sliced pickled turnips,Lebanon,Al Dayaa Products Sarl,Additive E 127 (Erythrosine),Not permitted in this food ,,"FSC 1.3.1

",Surveillance,,
