Date_of_fail,Product_description,Country_of_origin,Producer_name,Reason_for_fail,Results,Units,Reference,Category,Test_applied,Holding_order_number
2019-06-28,cut hyacinth beans,india,vadilal industries,fruit and vegetable residue screen,Profenofos,0.09,mgkg,surveillance,nan,
2019-07-01,dried longan,china,zhongshan yuncheng trading,carbendazim,0.06,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-07-02,dried fish tuyo in olive oil,philippines,zaragoza foods corp,histamine,370,mg/kg,his 122016,risk,nan,
2019-07-02,indian flat beans,india,innovative cuisine,"cypermethrin
profenofos","0.58
0.1",mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-07-03,tapioca chips,india,gowri exports imports,hydrocyanic acid,12,mg/kg,cas 092016,risk,nan,
2019-07-03,tea biscuits,serbia,koncern bambi ad,vitamin a phosphorus,Not permitted in this food,,fsc 132,surveillance,composition,
2019-07-04,chips,philippines,leslie,vitamins a b1 b2 b3 b5 b6 b12 and folic acid,Not permitted in this food,,fsc 132,surveillance,composition,
2019-07-04,pasteurised cooked crab meat,vietnam,phillips seafood vietnam,standard plate count,"<100, 3 500, <100, 
1 600 000, ~100
",cfu/g,cru 032019,risk,nan,
2019-07-04,pata de mulo cheese,spain,fco javier barrera alvarez lacteos siete lobas crta ardon,listeria monocytogenes,"<100, <100, 100, 300, 500",cfu/g,che 072018,risk,nan,
2019-07-05,ground dried fish,taiwan,kuang ta hsiang foodstuffs   taiwan,histamine,290,mg/kg,his 122016,risk,nan,
2019-07-08,fresh lychees,china,zhangzhou xinmingxing trading,"azoxystrobin
cyhalothrin
difenoconazole
thiabendazole","0.16
0.06
0.088
2.2",mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-07-08,mangosteens,thailand,ptn exotic produce,chlorpyrifos,0.3,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-07-08,cassava chips,indonesia,arira pangindo bogor indonesia,hydrocyanic acid,11,mg/kg,cas 092016,risk,nan,
2019-07-08,wheat flour,india,itc,arsenic,37,mg/kg,fsc 141,surveillance,arsenic,
2019-07-08,fresh lychees,china,zhangzhou xinmingxing trading,"azoxystrobin
cyhalothrin
difenoconazole
thiabendazole","0.22
0.07
0.095
1.9",mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-07-09,split mung beans,myanmar,ays mfg,"cypermethrin
chlorpyrifos","0.06
0.33",mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-07-09,tapioca chips,india,economic food soutions,hydrocyanic acid,20,mg/kg,cas 092016,risk,nan,
2019-07-09,roasted peanuts,china,qingdao zest foods,aflatoxin,0.044,mg/kg,nut 11208,risk,nan,
2019-07-09,high gluten flour,taiwan,yifeng food,vitamin c,Not permitted in this food,,fsc 131,surveillance,composition,
2019-07-09,spiced fried peanuts,india,haldriram bhujiawalal,aflatoxin,0.076,mg/kg,nut 11208,risk,nan,
2019-07-10,formulated supplementary food,india,patanjali ayurved,mineral copper vitamin b7,Not permitted in this food,,fsc 132,surveillance,composition,
2019-07-11,smoked catfish pieces,thailand,speed general trading,enrofloxacin,0.0031,mg/kg,fsc 142,surveillance,seafood antimicrobial tests,
2019-07-16,ground biscuits,serbia,koncern bambi ad,vitamin c phosphorus,Not permitted in this food,,fsc 132,surveillance,composition,
2019-07-16,pilchards in hot chilli sauce,namibia,united fishing enterprises,irradiated cayenne pepper,Not a permitted treatment for this food,,fsc 153,surveillance,composition,
2019-07-16,bitter gourd,india,finns frozen foods,dimethoate,0.026,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-07-16,indian beans val papdi,india,finns frozen foods,cypermethrin,0.21,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-07-16,hot mixed vegetable pickle,south africa,packo verulam south africa,irradiated chilli irradiated mustard irradiated tumeric,Not a permitted treatment for this food,,fsc 153,surveillance,composition,
2019-07-18,crushed chilli,turkey,narin bys dis ticaret,salmonella,Detected,/125g,spi 062019,risk,nan,
2019-07-18,dried tsaoko fruit,china,success day hong,phenylphenol,0.16,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-07-18,lou han guo monk fruit,china,success day hong,"cyhalothrin
procymidone","0.14
0.03",mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-07-23,biscuits,serbia,koncern bambi ad,vitamin c phosphorus,Not permitted in this food,,fsc 132,surveillance,composition,
2019-07-24,maize meal braaipap,south africa,indian ocean export company,vitamin a vitamin b5 vitamin b12,Not permitted in this food,,fsc 132,surveillance,composition,
2019-07-25,dried longan,china,jiangmen junying food,tebuconazole,0.06,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-07-25,black sesame crisps,china,huanglaowu food,aflatoxin,0.028,mg/kg,nut 11208,risk,nan,
2019-07-25,tapioca chips,india,kozhikodens,hydrocyanic acid,18,mg/kg,cas 092016,risk,nan,
2019-07-25,gialloblu erborinato cheese,italy,mantegazza formaggi,listeria monocytogenes,Detected,/125g,che 072018,risk,nan,
2019-07-26,frozen cut okra,india,aerath business,acephate,0.087,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-07-26,frozen dried longan,thailand,tanaya international,carbendazim,0.073,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-07-27,frozen scallops,japan,jyojirushi douwasyokuhin,listeria monocytogenes,"ND, ND, ND, ND, Detected",/125g,mol 042017,risk,nan,
2019-07-29,frozen dried longan,thailand,tanaya international,carbendazim,0.073,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-07-29,frozen raw whole white clam shells,vietnam,ngoc ha   food processing and trading,e coli,"<2.3, <2.3, 15, <2.3, <2.3",MPN/g,mol 042017,risk,nan,
2019-07-30,pickled apricot katsuome,japan,yoneya japan,vitamin b1,Not permitted in this food,,fsc 132,surveillance,composition,
2019-07-30,fried peanuts,china,henan kaixinren food coltd,aflatoxin,0.086,mg/kg,nut 11208,risk,nan,
2019-07-30,pickled apricot shiso ume,japan,yoneya japan,vitamin b1,Not permitted in this food,,fsc 132,surveillance,composition,
2019-07-30,pickled apricot hachimitsu ume,japan,yoneya japan,vitamin b1,Not permitted in this food,,fsc 132,surveillance,composition,
2019-07-30,pistachio nut kernel pieces,china,chk trading,aflatoxin,0.1,mg/kg,nut 11208,risk,nan,
2019-08-01,frozen cooked whole craw fish,china,zhejiang tianhe aquatic products,standard plate count,"630 000, 600 000, 4 000 000, 300 000, 28 000 000",cfu/g,cru 032019,risk,nan,
2019-08-05,chilli powder,india,kottackal agro foods,salmonella,Detected,/125g,spi 062019,risk,nan,
2019-08-05,spiced peanuts,india,raghuvanshi exports,aflatoxin,0.214,mg/kg,nut 11208,risk,nan,
2019-08-06,diced mozzarella cheese,italy,europomella spa it 12009 ce,listeria monocytogenes,Detected,/125g,che 072018,risk,nan,
2019-08-06,chilli sauce,thailand,chefs choice foods mfr,vitamin c,Not permitted in this food,,fsc 132,surveillance,composition,15287
2019-08-09,porridge oats,united kingdom,ramsdenweetabis,vitamin b12,Not permitted in this food,,fsc 132,surveillance,composition,15288
2019-08-09,breakfast cereal,united kingdom,ramsdenweetabis,vitamin b5,Not permitted in this food,,fsc 132,surveillance,composition,15288
2019-08-12,kelp slices,china,fuzhou hailin food,iodine,3900,mg/kg,bsw 122016,risk,nan,
2019-08-12,kelp shreds,china,fuzhou hailin food,iodine,3300,mg/kg,bsw 122016,risk,nan,
2019-08-12,dried kelp knots,china,fuzhou hailin food,iodine,2000,mg/kg,bsw 122016,risk,nan,
2019-08-13,fresh lychees,china,zhangzhou xinmingxing trading,"carbendazim 
chlorpyrifos
cypermethrin
dimethomorph
thaibendazole","1.8
0.09
0.39
0.43
0.04
",mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-08-13,seasoned squid salad,china,dalian gaishi food,additive colour 160b,Not permitted in this food,,fsc 131,surveillance,composition,
2019-08-14,preserved salted plums,china,kiu sang hong  hong kong,lead,1.1,,fsc 141,surveillance,lead,
2019-08-14,dried herring,philippines,kaelen phils,histamine,360,mg/kg,his 122016,risk,nan,
2019-08-15,candy corn,united states,ferrara cany company,additive e127 erythrosine,Not permitted in this food,,fsc 131,surveillance,composition,15312
2019-08-15,frozen green chilli,india,arctic agro foods,"monocrotophos
tebuconazole","0.07
0.13
",mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,15295
2019-08-16,sliced red dates,china,micson food processing,"carbendazim
cypermethrin
difenoconazole
propiconazole
tebuconazole","0.28
0.16
0.37
0.17
0.56",mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-08-19,spinach leaves,india,vadilal industries,chlorpyrifos,0.23,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-08-21,tapioca flake,indonesia,pt marizarasa sarimurni indonesia,additive e127 erythrosine,Not permitted in this food,,fsc 131,surveillance,composition,15316
2019-08-22,toor dal pigeon peas,myanmar,ays mfg,chlorpyrifos,0.12,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,15323
2019-08-22,chilli powder,india,spectrum international,salmonella,Detected,/125g,spi 062019,risk,nan,
2019-08-23,tapioca chips,india,nilamel exports,hydrocyanic acid,11,mg/kg,cas 092016,risk,nan,
2019-08-23,tahini,pakistan,tat pakistan sesame mills,salmonella,Detected,/125g,ses 052014,risk,nan,
2019-08-23,tuna in vegetable oil,iran,fedelak food industry,histamine,532,mg/kg,his 122016,risk,nan,
2019-08-26,cambodge dried tamarind,india,kkr agro mills p,2phenylphenol,0.14,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-08-29,kelp powder,china,xian pincredit biotech,iodine,6660,mg/kg,bsw 122016,risk,nan,
2019-08-29,dried anchovies,india,aquatic fisheries,histamine,390,mg/kg,his 122016,risk,nan,
2019-08-30,golden raisins,india,harihar foods,carbendazim,0.36,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-08-30,halawah with pistachio,syria,al asala foodstuff,listeria monocytogenes,Detected,/125g,ses 052014,risk,nan,
2019-09-02,cheese,italy,casa madaio,listeria monocytogenes,Detected,/125g,che 072018,risk,nan,
2019-09-03,extra hot chilli powder,india,shah exim,salmonella,Detected,/125g,spi 062019,risk,nan,
2019-09-03,steamed red bean grain bun,china,shanghai light industrial products imp exp corpltd,vitamin c,Not permitted in this food,,fsc 132,surveillance,composition,15350
2019-09-03,seasoned seaweed,japan,kurakon foods,iodine,3400,mg/kg,bsw 122016,risk,nan,
2019-09-05,instant noodles,japan,toyo suisan kaisha,additive 165 gardenia blue additive 180 lithol rubine bk,,,fsc 131,surveillance,composition,15367
2019-09-05,ramen noodles pork broth,japan,marutai,additive 165 gardenia blue,Not permitted in this food,,fsc 131,surveillance,composition,15360
2019-09-05,dried haw,china,yongxiang food processing plant,"carbendazim
cyhalothrin","0.20
0.12
",mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,15351
2019-09-05,canned yellow peaches,korea,penguin general food,02,,mg/kg,fsc 141,surveillance,lead,15368
2019-09-06,taro flavoured powder,taiwan,king heng foods,not permitted in this food,,,fsc 131,surveillance,composition,15372
2019-09-06,spinach leaves,india,vadilal industries,chlorpyrifos,0.09,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-09-09,sardines in tomato sauce,china,sunny success international,histamine,280,mg/kg,his 122016,risk,nan,
2019-09-11,coffee,thailand,nature gift   dk health product lyd part,"niacinamide 
iron 
manganese 
calcium dpantothenate riboflavin
chromium",Not permitted in this food,,fsc 132,surveillance,composition,15359
2019-09-12,lemon juice,nepal,bs nepal trade link,vitamin e,Not permitted in this food,,fsc 132,surveillance,composition,15381
2019-09-13,formulated supplementary sports food,united states,4excelsior pharma spirit,unapproved novel food,,,fsc 151,surveillance,composition,15369
2019-09-16,dried thora fish,sri lanka,damayanthi ent exp sri lanka,histamine,210,mg/kg,his 122016,risk,nan,
2019-09-16,spicy gram flour coated peanuts,india,sunshine food products,aflatoxin,"0.015
product contains 67 per cent peanut, therefore the calculated maximum level is 0.01",mg/kg,nut 112018,risk,nan,
2019-09-16,frozen whole cooked brandy crawfish,china,standard plate count,standard plate count,"19000, 2100000, 22000, 26000, 27000",cfu/g,cru 032019,risk,nan,
2019-09-16,frozen marinara mix,china,shandong tongxing foodstuffs,e coli,"<2.3, <2.3, 43.0, <2.3, <2.3",MPN/g,msm 112018,risk,nan,
2019-09-17,high gluten flour,taiwan,yifeng food,vitamin c,Not permitted in this food,,fsc 132,surveillance,composition,
2019-09-18,satay sauce,indonesia,pt enak jaya makmur,aflatoxin,0.025,mg/kg,nut 112018,risk,nan,
2019-09-19,flavoured pan masala,india,dharampal premchand,"areca catechu
betel nut",Prohibited plant,,fsc 144,surveillance,composition,15435
2019-09-19,dried chinese dates,china,bozhou haomen chinese herbal medicine,cypermethrin,0.11,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,15384
2019-09-23,wheaten flour,taiwan,yifeng food,vitamin c,Not permitted in this food,,fsc 132,surveillance,composition,
2019-09-26,boiled bracken,korea,singwang ecofarm,pteridium aquilinum,Prohibited plant,,fsc 144,surveillance,composition,
2019-09-27,dried hawthorn fruit,china,guang dong jiexi maolin food,"carbendazim 
tebuconazole","0.65
0.12",,fsc 142,surveillance,fruit and vegetable residue screen,15390
2019-09-30,peanut spread,philippines,unilever phils,"composition
vitamin b1
vitamin acetate
vitamin a palmitate
vitamin d3",Not permitted in this food,,fsc 132,risk,nan,
2019-09-30,dried jumbo peaches,united states,california fruit basket,cyprodinil,0.09,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,15407
2019-10-01,rice milk,korea,okf,vitamin c,Not permitted in this food,,fsc 132,surveillance,composition,15391
2019-10-02,spice coated peanuts,india,raghuvanshi exports,aflatoxin,0.03,mg/kg,nut 11208,risk,nan,
2019-10-02,fresh betel leaves,india,fresh jasmines export and import,"triadimefon
triadimenol","0.058
0.058",mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,15412
2019-10-03,honey acacia,serbia,medhoney doo,evidence of blended or artificial honey,24,%,fsc 282,surveillance,composition,15398
2019-10-03,honey clover,serbia,medhoney doo,evidence of blended or artificial honey,21,%,fsc 282,surveillance,composition,15398
2019-10-04,fresh sugar snap peas,china,xiangyang heli agriculture development,thiamethoxam,0.1,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,15401
2019-10-04,dried seaweed,japan,kurakon foods,iodine,3900,mg/kg,bsw 122016,risk,nan,
2019-10-04,maldive fish chips,sri lanka,leela exorts imports sri lanka,histamine,210,mg/kg,his 122016,risk,nan,
2019-10-07,salted anchovies,philippines,pop export trading,histamine,1500,mg/kg,his 122016,risk,nan,
2019-10-08,fresh whole yellowfin tuna,maldives,cmf fish processing factory,histamine,309,mg/kg,his 122016,risk,nan,
2019-10-08,fresh whole yellowfin tuna,maldives,cmf fish processing factory,histamine,218,mg/kg,his 122016,risk,nan,
2019-10-09,dried apricot fruit snack,south africa,pioneer foods,thiabendazole,0.031,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,15414
2019-10-09,petit agour cheese,france,agour sasu,listeria monocytogenes,Detected,/125g,che 072018,risk,nan,
2019-10-10,frozen pandan leaf,thailand,ocha food pack,difenoconazole,0.054,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-10-11,whole dates,china,cangzhou ruifeng date product,carbendazim,0.07,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,
2019-10-11,cooked crawfish,china,zhongyang fishery shanghai,standard plate count,"120 000, 230 000, 
90 000, 380 000, 280 000
",/125g,cru 032019,risk,nan,
2019-10-15,spinach,india,global gourmet,chlorpyrifos,0.068,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,15422
2019-10-17,honey with white truffle,italy,poddi tartufi srl,evidence of blended or artificial honey,12,%,fsc 282,surveillance,composition,15429
2019-10-17,fresh grapes,united states,jasmine vineyards incorporated,propargite,2.7,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,15431
2019-10-17,dried herring,philippines,pearlfoods international,histamine,480,mg/kg,his 122016,risk,nan,
2019-10-18,peanut and sesame paste,china,jinhua import export trading,aflatoxin,"0.013
product contains 50 per cent peanut, therefore the calculated maximum level is 0.0075
",mg/kg,nut 11208,risk,nan,
2019-10-21,frozen cooked prawns,vietnam,bac lieu fisheries joint stock company,vibrio cholerae,Detected,/125g,cru 032019,risk,nan,
2019-10-21,fresh yellowfin tuna,maldives,cmf fish processing factory,histamine,564,mg/kg,his 122016,risk,nan,
2019-10-21,fresh yellowfin tuna,maldives,cmf fish processing factory,histamine,253,mg/kg,his 122016,risk,nan,
2019-10-21,fresh yellowfin tuna,maldives,cmf fish processing factory,histamine,473,mg/kg,his 122016,risk,nan,
2019-10-21,fresh yellowfin tuna,maldives,cmf fish processing factory,histamine,308,mg/kg,his 122016,risk,nan,
2019-10-21,fresh yellowfin tuna,maldives,cmf fish processing factory,histamine,276,mg/kg,his 122016,risk,nan,
2019-10-23,parval pointed gourd,india,innovative cuisine,dimethoate,0.022,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,15413
2019-10-28,cracker nuts,philippines,yunik import and export corp,aflatoxin,"0.014
product contains 75 per cent peanut, therefore the calculated maximum level is 0.011
",mg/kg,nut 11208,risk,nan,
2019-10-30,cooked ark shell meat,korea,namdo kkomak,e coli,"17, <2, 7, 8, 2",MPN/g,mol 042017,risk,nan,
2019-10-31,frozen cooked prawns,thailand,top product food,standard plate count,"20 000, 5 200 000, 
5 800 000, 2 000, 110 000
",cfu/g,cru 032019,risk,nan,
2019-10-31,frozen purple corn,vietnam,saka saka company,chlorpyrifos,0.12,mg/kg,fsc 142,surveillance,nan,
2019-10-31,dry mizithra cheese,greece,metsovovlahotirokomikh tsoutsoplides greece,listeria monocytogenes,Detected,/125g,che 072018,risk,nan,
2019-11-01,seasoned seaweed,japan,kurakon foods,iodine,3000,mg/kg,bsw 122016,risk,nan,
2019-11-01,frozen roasted eel,china,jiangxi donghai food  lyd,listeria monocytogenes,Detected,/125g,fsh 072018,risk,nan,
2019-11-01,dried seaweed,japan,kurakon foods,iodine,4000,mg/kg,bsw 122016,risk,nan,
2019-11-01,sliced pickled turnips,lebanon,al dayaa products sarl,additive e 127 erythrosine,Not permitted in this food ,,fsc 131,surveillance,nan,
2019-11-04,frozen whole cooked lobster,brazil,j3 industria e comercio de pescados ltda,salmonella,Detected,/125g,cru 032019,risk,nan,
2019-11-04,dried mud fish,thailand,ocha food pack,ciprofloxacin,0.0028,mg/kg,fsc 142,surveillance,nan,
2019-11-05,caprotto cheese,italy,casa madaio srl it 15061ce,listeria monocytogenes,Detected,/125g,che 072018,risk,nan,
2019-11-06,apricot flavoured candy foam,south africa,mister sweet,additive e 127 erythrosine,Not permitted in this food ,,nan,surveillance,nan,
2019-11-07,preserved plums,china,farmers cottage foodstuff,lead,0.21,mg/kg,fsc 141,surveillance,nan,
2019-11-07,preserved salted peaches,china,farmers cottage foodstuff,lead,0.21,mg/kg,fsc 141,surveillance,nan,
2019-11-07,spice coated fried peanuts,india,haldiram snacks,aflatoxin,0.033,mg/kg,nut 112018,risk,nan,
2019-11-11,margarine,indonesia,pt unilever indonesia tbk,vitamin niacin b1 b2,Not permitted in this food,,fsc 132,surveillance,nan,
2019-11-11,fresh longans,vietnam,chanh thu export and import fruit company,"azoxystrobin
difenoconazole","0.18
0.11
",mg/kg,fsc 142,surveillance,nan,
2019-11-12,fresh dates,saudi arabia,manafez international,carbendazim,0.06,mg/kg,fsc 142,surveillance,nan,
2019-11-12,sukkary fresh dates,saudi arabia,manafez international,cyhalothrin,0.03,mg/kg,fsc 142,surveillance,nan,
2019-11-13,frozen durian,thailand,sunshine international,procymidone,0.99,mg/kg,fsc 142,surveillance,nan,
2019-11-14,peanut cake,malaysia,meng choon food industries,aflatoxin,0.017,mg/kg,nut 112018,risk,nan,
2019-11-14,wheaten flour,taiwan,yifeng food,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2019-11-18,cereal,united kingdom,kelloggs warrington united kingdom,vitmains d b12,Not permitted in this food,,fsc 132,surveillance,nan,
2019-11-20,taleggio dop cheese,italy,carozzi roberto csnc i03416cee lecco italy,listeria monocytogenes,Detected,/125g,che 072018,risk,nan,
2019-11-22,ground red pepper,nigeria,oceanwaves import and export,salmonella,Detected,/125g,spi 062019,risk,nan,
2019-11-25,indian flat beans surti papdi,india,innovative cuisine,profenofos,0.09,mg/kg,fsc 142,surveillance,nan,
2019-11-26,formulated supplementary sports food,united states,bpm labs,synephrine hcl,Considered to pose a risk to human health,,imported food control act section 32avii,surveillance,nan,
2019-11-26,chilli powder deggi mirch,india,mahashian di hatti,salmonella,Detected,/125g,spi 062019,risk,nan,
2019-11-26,qasuri methi fenugreek leaves retail,pakistan,malka foods,salmonella,Detected,/125g,imported food control act section 32,surveillance,nan,
2019-11-27,vegetable ivy gourd,india,vadilal industries,dimethoate,0.027,mg/kg,fsc 142,surveillance,nan,
2019-11-28,frozen cooked vannamei prawns,china,zhejiang ocean family,standard plate count,"240 000, 110 000, 160 000, 450 000, 68 000",cfu/g,cru 032019,risk,nan,
2019-11-29,strawberries iqf whole,china,rongze food manufacturing,acephate,0.073,mg/kg,fsc 142,surveillance,nan,
2019-11-29,spice coated fried peanuts,india,haldiram foods international,aflatoxin,0.027,mg/kg,nut 112018,risk,nan,
2019-11-29,seasoned seaweed,japan,kurakon foods,iodine,3500,mg/kg,bsw 122016,risk,nan,
2019-12-02,frozen magur tray fish,bangladesh,mm foods international,"ciprofloxacin 
enrofloxacin 
levofloxocin 
ofloxacin 
leuco malachitegreen","0.015
0.073
0.021
0.021
0.008
",mg/kg,fsc 142,surveillance,nan,
2019-12-03,dragon fruit,vietnam,the fruit republic can tho one member,carbendazim,0.19,mg/kg,fsc 142,surveillance,nan,
2019-12-03,frozen green chillies,india,arctic agro foods,difenoconazole,0.17,mg/kg,fsc 142,surveillance,nan,
2019-12-04,peanut candy,malaysia,desa southern agency kl,aflatoxin,0.048,mg/kg,nut 112018,risk,nan,
2019-12-05,dried seedless longan,thailand,ocha food pack,carbendazim,0.06,mg/kg,fsc 142,surveillance,nan,
2019-12-05,wheaten flour,taiwan,yifeng food,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2019-12-05,durian monthong,thailand,sunshine international,procymidone,0.18,mg/kg,fsc 142,surveillance,nan,
2019-12-06,yellowfin tuna,maldives,cmf fish processing factory,histamine,234,mg/kg,his 122016,risk,nan,
2019-12-06,yellowfin tuna,maldives,cmf fish processing factory,histamine,265,mg/kg,his 122016,risk,nan,
2019-12-06,yellowfin tuna,maldives,cmf fish processing factory,histamine,485,mg/kg,his 122016,risk,nan,
2019-12-06,yellowfin tuna,maldives,cmf fish processing factory,histamine,439,mg/kg,his 122016,risk,nan,
2019-12-06,spanish mackerel,indonesia,pt iambeu mina utama,histamine,1459,mg/kg,his 122016,risk,nan,
2019-12-06,yellowfin tuna,maldives,cmf fish processing factory,histamine,710,mg/kg,his 122016,risk,nan,
